srcip,dstip,dstport,count
10,910,2404,1
10,907,2404,1
10,902,2404,1
10,887,2404,1
10,883,2404,1
10,880,2404,1
10,879,2404,1
10,878,2404,1
10,877,2404,1
10,865,2404,1
10,855,2404,1
10,850,2404,1
18,149,2404,1
10,844,2404,1
18,422,2404,1
18,438,2404,1
18,454,2404,1
18,492,2404,1
18,708,2404,1
18,711,2404,1
18,718,2404,1
18,722,2404,1
18,727,2404,1
18,732,2404,1
18,733,2404,1
18,743,2404,1
18,825,2404,1
18,827,2404,1
18,830,2404,1
18,832,2404,1
18,838,2404,1
18,842,2404,1
18,845,2404,1
18,846,2404,1
18,851,2404,1
18,701,2404,1
18,691,2404,1
18,681,2404,1
18,606,2404,1
18,517,2404,1
18,535,2404,1
18,540,2404,1
18,555,2404,1
18,569,2404,1
18,598,2404,1
18,601,2404,1
18,619,2404,1
18,674,2404,1
18,629,2404,1
18,630,2404,1
18,633,2404,1
18,662,2404,1
18,665,2404,1
18,668,2404,1
18,670,2404,1
10,387,2404,1
10,381,2404,1
10,312,2404,1
1,706,2404,1
1,661,1024,1
1,660,1026,1
1,651,2404,1
377,18,43926,1
1,643,2404,1
384,10,42672,1
1,635,2404,1
387,10,37986,1
1,621,2404,1
393,1,2404,1
1,603,2404,1
1,600,2404,1
398,1,33166,1
1,578,2404,1
1,564,2404,1
1,562,2404,1
1,549,1026,1
1,673,2404,1
1,729,2404,1
10,309,2404,1
1,742,2404,1
1,869,1026,1
1,866,1024,1
1,849,2404,1
1,837,2404,1
1,836,1024,1
1,829,2404,1
1,819,2404,1
1,812,2404,1
323,1,42978,1
1,790,2404,1
1,772,1026,1
1,770,2404,1
1,764,2404,1
335,18,38822,1
340,18,37434,1
1,744,1036,1
346,18,57006,1
1,546,2404,1
1,545,2404,1
1,541,2404,1
423,10,39188,1
1,229,2404,1
525,10,57092,1
1,220,2404,1
529,1,2404,1
532,18,34910,1
540,18,54046,1
541,1,53616,1
542,10,37786,1
545,1,36090,1
549,1,2404,1
551,8,2404,1
552,10,55934,1
555,18,54950,1
1,169,2404,1
562,1,58050,1
564,1,54616,1
569,18,58250,1
513,8,2404,1
1,263,2404,1
1,264,2404,1
456,1,43848,1
1,530,2404,1
427,18,38268,1
1,523,2404,1
1,497,2404,1
438,18,36072,1
446,1,45830,1
454,18,46956,1
461,10,38358,1
1,279,2404,1
468,8,39518,1
470,8,49638,1
1,398,2404,1
1,393,1024,1
485,10,53020,1
1,332,2404,1
492,18,49786,1
1,872,2404,1
1,886,1024,1
1,898,2404,1
8,721,2404,1
8,876,2404,1
8,875,2404,1
8,870,1025,1
8,861,1025,1
8,859,2404,1
8,852,1025,1
8,843,1025,1
8,813,2404,1
8,810,2404,1
8,801,1025,1
8,797,2404,1
8,795,2404,1
8,763,2404,1
8,759,1025,1
8,758,1026,1
8,741,1025,1
8,730,1025,1
8,881,2404,1
8,882,2404,1
139,10,44376,1
8,950,2404,1
10,280,2404,1
10,251,2404,1
10,239,2404,1
10,221,2404,1
10,219,2404,1
10,139,2404,1
10,131,2404,1
8,924,2404,1
8,884,2405,1
8,923,1025,1
8,919,1025,1
8,911,2404,1
8,899,1026,1
8,896,2404,1
137,136,2404,1
8,892,2680,1
8,724,2404,1
8,715,2404,1
1,912,2404,1
176,18,33358,1
219,10,53346,1
220,1,54084,1
8,571,2404,1
8,570,2404,1
229,1,42922,1
8,553,2404,1
8,537,2404,1
8,536,2404,1
238,10,48160,1
239,10,45686,1
8,527,2404,1
8,503,2404,1
8,493,2404,1
8,468,2404,1
8,410,2404,1
8,178,2404,1
1,942,1026,1
8,591,2404,1
215,18,39690,1
8,594,3763,1
8,638,1026,1
8,693,2404,1
179,178,2404,1
8,659,2404,1
8,658,2404,1
8,654,2404,1
191,10,35954,1
8,639,2404,1
8,632,1025,1
210,10,40006,1
8,629,2404,1
8,626,2404,1
8,624,2404,1
201,197,2404,1
8,620,4340,1
8,605,1025,1
8,599,1025,1
954,1,57920,1
